strike,option,token,expiry
0,UT,53216,2025-07-31
0,50,99926000,2025-07-31
22950,CE,39836,2025-07-10
22950,PE,39837,2025-07-10
23000,CE,39838,2025-07-10
23000,PE,39839,2025-07-10
23050,CE,39840,2025-07-10
23050,PE,39843,2025-07-10
23100,CE,39844,2025-07-10
23100,PE,39847,2025-07-10
23150,CE,39848,2025-07-10
23150,PE,39849,2025-07-10
23200,CE,39850,2025-07-10
23200,PE,39851,2025-07-10
23250,CE,39880,2025-07-10
23250,PE,39881,2025-07-10
23300,CE,39882,2025-07-10
23300,PE,39883,2025-07-10
23350,CE,39884,2025-07-10
23350,PE,39885,2025-07-10
23400,CE,39890,2025-07-10
23400,PE,39891,2025-07-10
23450,CE,39894,2025-07-10
23450,PE,39897,2025-07-10
23500,CE,39898,2025-07-10
23500,PE,39899,2025-07-10
23550,CE,39900,2025-07-10
23550,PE,39903,2025-07-10
23600,CE,39904,2025-07-10
23600,PE,39905,2025-07-10
23650,CE,39906,2025-07-10
23650,PE,39913,2025-07-10
23700,CE,39914,2025-07-10
23700,PE,39916,2025-07-10
23750,CE,39917,2025-07-10
23750,PE,39919,2025-07-10
23800,CE,39920,2025-07-10
23800,PE,39921,2025-07-10
23850,CE,39922,2025-07-10
23850,PE,39929,2025-07-10
23900,CE,39930,2025-07-10
23900,PE,39931,2025-07-10
23950,CE,39932,2025-07-10
23950,PE,39933,2025-07-10
24000,CE,39934,2025-07-10
24000,PE,39939,2025-07-10
24050,CE,39940,2025-07-10
24050,PE,39941,2025-07-10
24100,CE,39942,2025-07-10
24100,PE,39943,2025-07-10
24150,CE,39944,2025-07-10
24150,PE,39945,2025-07-10
24200,CE,39946,2025-07-10
24200,PE,39948,2025-07-10
24250,CE,39950,2025-07-10
24250,PE,39952,2025-07-10
24300,CE,39953,2025-07-10
24300,PE,39963,2025-07-10
24350,CE,39964,2025-07-10
24350,PE,39965,2025-07-10
24400,CE,39966,2025-07-10
24400,PE,39967,2025-07-10
24450,CE,39968,2025-07-10
24450,PE,39969,2025-07-10
24500,CE,39970,2025-07-10
24500,PE,39971,2025-07-10
24550,CE,39972,2025-07-10
24550,PE,39981,2025-07-10
24600,CE,39983,2025-07-10
